Category,EHR Entry,Snellen Value,LogMAR,value_as_concept_id
"Snellen / Snellen Equivalent [these are just illustrative examples, please calculate using the formula]",20/15,20/15,-0.12,0
"",20/20,20/20,0.00,test
"",20/25,20/25,0.10,0
"",20/30,20/30,0.18,0
"",20/40,20/40,0.30,0
"",20/50,20/50,0.40,0
"",20/60,20/60,0.48,0
"",20/70,20/70,0.54,0
"",20/80,20/80,0.60,0
"",20/100,20/100,0.70,0
"",20/125,20/125,0.80,0
"",20/150,20/150,0.88,0
"",20/200,20/200,1.00,0
"",20/250,20/250,1.10,0
"",20/300,20/300,1.18,0
"",20/400,20/400,1.30,0
"",20/500,20/500,1.40,0
"",20/600,20/600,1.48,0
